student_id,department,specialization,current_year,semester,gender,cgpa,semester_gpa,cgpa_trend,backlog_count,internal_marks_avg,assignment_submission_rate,lab_performance_score,project_score,academic_risk_score,attendance_percentage,classes_missed,attendance_trend,lms_login_frequency,course_completion_rate,video_watch_percentage,quiz_attempt_rate,study_hours_per_week,club_participation_score,hackathon_count,technical_event_participation,leadership_score,extracurricular_score,fee_delay_days,scholarship_status,financial_stress_score,mentor_meetings_count,mentor_feedback_score,intervention_history_count,counseling_sessions,communication_score,presentation_score,teamwork_score,coding_score,aptitude_score,problem_solving_score,database_score,web_development_score,ai_ml_score,cloud_score,cybersecurity_score,linkedin_profile_score,resume_score,github_activity_score,portfolio_score,certification_count,career_readiness_score,mock_interview_score,group_discussion_score,placement_readiness_score,placement_probability,internship_count,industry_project_count,open_source_contributions,motivation_score,stress_score,time_management_score,consistency_score,academic_risk_band,dropout_risk_band,placement_risk_band,recommended_intervention,recommended_career_path,recommended_certification,recommended_course_track
STU202600001,Computer Engineering,Full Stack Development,Third Year,6,Male,9.0,9.15,Stable,1,83.97,84.84,85.23,73.43,26.48,91.65,4,Declining,19,88.77,88.07,81.9,20,25.06,0,2,43.13,28.94,2,Partial Scholarship,32.32,5,68.78,0,0,45.49,47.56,51.21,57.96,79.28,61.64,68.48,37.14,53.81,52.85,50.97,49.03,52.3,25.97,47.01,4,62.13,60.45,48.99,49.85,52.01,0,0,0,81.65,62.52,61.18,75.33,Low,Low,Medium,Routine Academic Mentoring & Growth Tracking,IT Systems Consultant,Project Management Professional (PMP) Baseline,Academic Support & Catch-Up Track
STU202600002,Civil Engineering,Environmental Engineering,Second Year,3,Female,8.25,8.31,Stable,0,83.87,81.79,87.19,63.94,14.69,85.25,7,Stable,14,80.79,81.85,74.47,17,80.31,2,5,80.38,81.17,2,Partial Scholarship,33.7,5,60.32,1,0,67.13,78.58,73.54,46.29,70.82,61.82,85.6,65.21,22.85,71.47,57.94,75.44,62.5,53.19,60.68,2,67.14,71.97,83.85,50.39,29.78,0,0,1,73.9,34.62,59.95,63.8,Low,Low,High,Routine Academic Mentoring & Growth Tracking,Structural & Infrastructure Planner,Project Management Professional (PMP) Baseline,Entrepreneurship Track
STU202600003,AI & ML,Computer Vision,Final Year,7,Female,8.81,8.79,Stable,0,85.37,85.51,92.06,87.88,8.99,91.91,4,Stable,16,93.38,89.24,91.89,26,63.67,1,2,70.77,53.63,1,Partial Scholarship,14.26,5,73.64,0,0,75.49,76.03,70.65,77.95,86.26,77.92,83.29,66.33,94.83,78.96,72.77,57.11,70.29,53.36,71.45,2,66.64,73.84,85.94,78.02,78.29,2,0,0,81.17,34.43,74.9,91.29,Low,Low,Low,Routine Academic Mentoring & Growth Tracking,AI/ML Research Specialist,AWS Certified Machine Learning Specialty,Placement Fast Track
STU202600004,Electronics & Telecommunication,Embedded Systems,First Year,2,Male,8.83,8.69,Stable,0,81.85,91.01,81.58,82.14,10.54,88.58,5,Improving,18,88.07,76.95,86.83,15,33.76,2,6,49.93,43.78,0,Partial Scholarship,23.09,5,82.23,1,0,72.3,70.93,64.22,77.61,59.97,75.59,76.69,73.89,78.41,84.19,86.1,67.18,74.03,74.07,74.74,5,90.58,86.52,68.29,61.15,34.47,0,1,0,61.22,32.98,72.21,88.28,Low,Low,High,Routine Academic Mentoring & Growth Tracking,Embedded Systems & IoT Engineer,PTC IoT Developer Certification,Academic Support & Catch-Up Track
STU202600005,Mechanical Engineering,CAD/CAM,Third Year,6,Male,9.34,9.36,Stable,0,82.78,94.47,100.0,88.63,5.81,95.74,2,Declining,24,87.36,100.0,82.63,26,59.95,3,5,53.68,58.37,2,Fully Funded,61.3,5,76.93,1,2,50.32,52.69,53.79,58.23,75.34,75.94,80.86,61.18,39.9,88.88,70.49,61.5,63.61,63.6,69.6,1,59.66,58.74,66.35,60.47,72.64,0,0,0,76.03,45.71,74.01,87.37,Low,Low,Low,Routine Academic Mentoring & Growth Tracking,Product Design Engineer,Project Management Professional (PMP) Baseline,Placement Fast Track
STU202600006,AI & Data Science,Big Data Engineering,Third Year,5,Male,9.06,8.88,Downward,2,77.0,87.67,96.91,92.92,45.76,91.36,4,Stable,19,87.87,73.12,89.66,29,56.44,5,5,60.0,64.83,10,Partial Scholarship,25.21,5,69.95,0,0,80.59,82.81,68.58,93.5,83.87,83.14,93.8,71.24,87.92,90.86,82.52,84.48,91.05,73.58,74.3,1,75.12,89.92,73.73,74.16,65.55,0,0,0,69.17,46.87,76.46,69.64,Medium,Medium,Low,Routine Academic Mentoring & Growth Tracking,AI/ML Research Specialist,AWS Certified Machine Learning Specialty,Academic Support & Catch-Up Track
STU202600007,AI & Data Science,Big Data Engineering,Final Year,7,Male,7.33,7.6,Stable,0,74.77,80.88,76.81,79.41,21.1,85.93,6,Stable,17,77.46,55.15,80.14,13,49.7,2,4,58.06,53.45,7,No Scholarship,32.66,6,68.63,0,1,72.98,71.17,73.79,79.07,61.26,70.18,58.34,69.7,76.49,60.58,65.61,62.19,70.75,61.33,67.23,3,72.47,82.82,73.36,76.15,66.04,2,0,0,52.61,49.3,56.11,58.38,Low,Low,Low,Routine Academic Mentoring & Growth Tracking,AI/ML Research Specialist,AWS Certified Machine Learning Specialty,Academic Support & Catch-Up Track
STU202600008,Computer Engineering,Software Engineering,Second Year,3,Female,7.99,7.42,Stable,0,65.04,81.18,82.26,73.57,24.93,86.42,6,Stable,12,83.43,66.54,77.09,22,47.55,2,4,61.01,59.69,7,No Scholarship,39.9,5,73.57,0,0,63.74,60.28,67.22,76.94,51.9,56.03,75.54,57.08,58.89,90.14,75.27,66.52,66.26,68.97,61.67,0,57.25,78.88,65.93,61.44,31.88,1,0,0,50.57,28.76,59.27,64.66,Low,Low,High,Routine Academic Mentoring & Growth Tracking,Cloud Solutions Architect,Google Cloud Professional Cloud Architect,Academic Support & Catch-Up Track
STU202600009,Mechanical Engineering,Robotics & Automation,Third Year,6,Female,7.1,6.85,Upward,0,70.7,80.5,74.1,78.88,12.63,78.3,10,Stable,13,72.9,73.38,67.14,16,39.74,3,5,45.37,41.41,2,No Scholarship,15.36,6,57.64,0,0,34.75,37.29,42.53,53.54,45.18,53.03,75.9,43.75,80.0,73.59,92.76,41.14,50.22,71.49,56.89,4,62.69,49.21,46.48,53.7,49.67,2,1,0,50.65,40.86,48.47,45.46,Low,Low,Medium,Routine Academic Mentoring & Growth Tracking,Robotics & Automation Engineer,Certified ROS Robot Developer,Academic Support & Catch-Up Track
STU202600010,Electronics & Telecommunication,Embedded Systems,Second Year,4,Female,8.02,7.8,Stable,0,74.15,70.92,81.13,79.47,14.17,81.21,8,Stable,14,79.34,68.54,88.05,27,71.68,0,6,81.22,52.1,2,Partial Scholarship,32.29,5,68.9,2,0,68.58,68.36,67.93,45.05,77.75,60.46,69.04,62.32,51.72,69.29,72.45,57.99,69.07,53.96,57.9,2,66.34,58.55,83.05,51.65,29.44,1,0,1,51.94,48.72,52.62,68.03,Low,Low,High,Routine Academic Mentoring & Growth Tracking,Core Electrical Grid Engineer,Project Management Professional (PMP) Baseline,Academic Support & Catch-Up Track
