feature,importance
backlog_count,0.24824728
recommended_intervention,0.11405775
classes_missed,0.07399453
mentor_meetings_count,0.05729358
attendance_percentage,0.039604682
stress_score,0.037695587
cgpa,0.023639532
time_management_score,0.019999562
internal_marks_avg,0.016650802
recommended_course_track,0.016362302
assignment_submission_rate,0.015052969
certification_count,0.013902985
financial_stress_score,0.011273362
course_completion_rate,0.010807659
quiz_attempt_rate,0.010476296
presentation_score,0.010000907
recommended_career_path,0.00984954
video_watch_percentage,0.009160586
current_year,0.008579373
study_hours_per_week,0.008285183
open_source_contributions,0.008101006
aptitude_score,0.0075543597
attendance_trend,0.0075400597
linkedin_profile_score,0.007507829
lms_login_frequency,0.00745145
specialization,0.007418862
cybersecurity_score,0.0071763783
recommended_certification,0.00702619
semester_gpa,0.0070133475
group_discussion_score,0.0069612237
database_score,0.0069247573
communication_score,0.0069036717
intervention_history_count,0.0068564536
lab_performance_score,0.0064378916
project_score,0.0064262277
club_participation_score,0.006350238
hackathon_count,0.006326778
web_development_score,0.006115081
motivation_score,0.0059465603
cloud_score,0.0058877505
extracurricular_score,0.0058408766
department,0.005816249
gender,0.0055772923
consistency_score,0.005518718
leadership_score,0.005489772
portfolio_score,0.0054165903
counseling_sessions,0.0053977226
coding_score,0.0053063026
resume_score,0.0050983974
problem_solving_score,0.0050891414
mentor_feedback_score,0.005065817
github_activity_score,0.0050134654
ai_ml_score,0.0048105167
mock_interview_score,0.0047059585
semester,0.004659069
technical_event_participation,0.004642787
fee_delay_days,0.004530929
internship_count,0.004503725
teamwork_score,0.004400989
scholarship_status,0.004245233
industry_project_count,0.0038486933
cgpa_trend,0.0021611056
