feature,shap_importance,rank,importance_pct
backlog_count,3.6719146,1,60.05
stress_score,0.27580523,2,4.51
attendance_percentage,0.2096207,3,3.43
internal_marks_avg,0.1924212,4,3.15
assignment_submission_rate,0.15258434,5,2.5
course_completion_rate,0.14365973,6,2.35
financial_stress_score,0.13671736,7,2.24
time_management_score,0.093537085,8,1.53
mentor_feedback_score,0.0709372,9,1.16
video_watch_percentage,0.06225061,10,1.02
cgpa,0.054791007,11,0.9
semester_gpa,0.05366875,12,0.88
cybersecurity_score,0.047638077,13,0.78
mock_interview_score,0.047068786,14,0.77
aptitude_score,0.045009594,15,0.74
motivation_score,0.041022025,16,0.67
lab_performance_score,0.04064385,17,0.66
lms_login_frequency,0.036098313,18,0.59
leadership_score,0.033461075,19,0.55
consistency_score,0.032163817,20,0.53
ai_ml_score,0.031651262,21,0.52
club_participation_score,0.031235054,22,0.51
web_development_score,0.028150674,23,0.46
study_hours_per_week,0.028044602,24,0.46
quiz_attempt_rate,0.027159592,25,0.44
github_activity_score,0.0264376,26,0.43
extracurricular_score,0.026254043,27,0.43
hackathon_count,0.026169728,28,0.43
linkedin_profile_score,0.023400363,29,0.38
problem_solving_score,0.023208218,30,0.38
classes_missed,0.022473967,31,0.37
resume_score,0.022465639,32,0.37
cloud_score,0.021772623,33,0.36
fee_delay_days,0.021643752,34,0.35
portfolio_score,0.021623185,35,0.35
database_score,0.02070284,36,0.34
project_score,0.020649526,37,0.34
presentation_score,0.018367961,38,0.3
coding_score,0.018178955,39,0.3
teamwork_score,0.017143423,40,0.28
gender,0.016651416,41,0.27
intervention_history_count,0.016167684,42,0.26
group_discussion_score,0.015985552,43,0.26
communication_score,0.015672034,44,0.26
department,0.014082267,45,0.23
mentor_meetings_count,0.013689997,46,0.22
industry_project_count,0.013382731,47,0.22
certification_count,0.011805133,48,0.19
open_source_contributions,0.010389814,49,0.17
semester,0.01011199,50,0.17
attendance_trend,0.009901469,51,0.16
counseling_sessions,0.009628467,52,0.16
current_year,0.009362438,53,0.15
specialization,0.009054037,54,0.15
technical_event_participation,0.0077955364,55,0.13
internship_count,0.006615033,56,0.11
cgpa_trend,0.0053953687,57,0.09
scholarship_status,0.0012386603,58,0.02
